review_text,date,rating
Impossible to delete or disable I have no use of this app. Why can't I uninstall or at least disable it?,November 12 2016,1
Not bad $ not soo good,November 12 2016,5
Nicol song Song,November 12 2016,3
every android users need it. need to improve much more.,November 12 2016,3
Wish I could disable or delete don't use,November 12 2016,1
Jah Good,November 12 2016,4
Useless app I never needed it. It's useless and stupid. Don't ever get it,November 12 2016,1
Sunil nayak good app,November 12 2016,5
Google talk back Really a nice utility app.,November 12 2016,5
Stop Really. Now this is just wrong. U people r steal my data from a broken device. I just happened to look at my old device for a number and there it is google stealing from me on a broken device. What honor what valour. Nice to no that google can steal from u data from a broken device.,November 12 2016,1
Lot to improve. Anyway  best for Android users.,November 12 2016,4
Rajdeep Gill,November 12 2016,5
Really boring I just hate it!! It really pissed me off once I was like my mobile data gone  something happened to it.. Later after several tries finally my phone lock opened.. Goshh!! I will never update this app..,November 12 2016,1
sk sweet,November 12 2016,5
Hate it App go to hell. It stops my phone,November 12 2016,1
Bakwas This app is so faltu,November 12 2016,1
ZTE ZMAX PRO 6.0.1 App is a nice service. Keep up the good work. 🙂,November 12 2016,3
Need to be able to uninstall ! Need to be able to uninstall ! Never have & never will use it ! Not interested in using it  and need the space on the device for apps I do want to use ! Forcing me to have it and others installed are as bad as other companies doing it !,November 11 2016,1
Where did the caller ID go? Color improvements? Why? When your unable to see color. I liked the 4.4 version better.,November 11 2016,3
Lenovo Happened,November 11 2016,4
Saih,November 11 2016,5
Talk back sucks Only works when it wants to work not conducive for daily life,November 11 2016,1
Hate it I wanted to throw my phone in the floor. It wouldn't let me turn it off.,November 11 2016,1
Theek thak h Samjh nhi ata KY hota h isse,November 11 2016,3
love it,November 11 2016,5
Not bad,November 11 2016,3
Loving application,November 11 2016,5
Please fix!!! When I am on Facebook and using talk back the app will suddenly stop working and I will have to restart my phone I am getting very tired of this please fix,November 11 2016,5
Great app So use full I enjoy having the app on my phone,November 11 2016,5
It is anoying The last time I was playing in settings and I turned on the app and my tablet closed and I couldn't open it because everything I touched I couldn't go in it and when my tablet closed I thought it was permanent so I started to cry ..........I hate it ......bad ...wh👊p,November 11 2016,1
And I like it,November 11 2016,4
Awesome APP.....! Google talkback,November 11 2016,5
Great app It's useful for those hard of hearing.,November 11 2016,5
Get rid of it How do I get this off my phone permanently? I can see how it would be useful for someone but I do not want it. Help? Ok. I found how to get rid of it. Settings_accessibility_sight_turn off talkback,November 11 2016,1
Good,November 11 2016,4
Scary Sheri Cool,November 11 2016,4
Future e-mail live coming’s,November 11 2016,5
Google talk back Awesome,November 11 2016,5
Hate it so so much!!!!!!😠😭 Every time I plug my headphones in it comes on Google search and sais what did you say,November 11 2016,1
Love it,November 11 2016,5
A google user Not bad.,November 11 2016,3
Mju Jamu,November 11 2016,3
What the.... Just taken 30 minutes to turn this off! Another app seemed to make me turn this on. Could for the life of me figure out how it worked. It's 2 finger swiping for anyone else in the same boat.,November 11 2016,1
It's so dangerous Makes your phone touch slower,November 11 2016,1
Rony dewan Google user,November 11 2016,5
TINKER KID I LOVE THIS APP,November 11 2016,5
Wow It is very Nice,November 11 2016,5
Bagus Mantap,November 11 2016,5
5 Ok,November 11 2016,5
Trash Trash TRash TRAsh TRASh TRASH!!!,November 11 2016,1
Khmer Khmer,November 11 2016,5
Hate it Sucks,November 11 2016,1
Hated it Poor,November 11 2016,1
UNINSTALL _________,November 11 2016,1
I love you Abemcha,November 10 2016,5
Not impressed Stalls and takes too long to work. Also  doesn't read any text.,November 10 2016,1
I love It,November 10 2016,5
No such use,November 10 2016,2
Nice Verynice,November 10 2016,4
Bored Didn't care for it.,November 10 2016,2
Worse,November 10 2016,1
Bad App Double tab and long press to use it this app super but not use for my mobile,November 10 2016,5
Good,November 10 2016,4
Messenger De,November 10 2016,5
love it T s so usefull,November 10 2016,5
Fantastic Fantastic Google talk back I have no problem but yes I have problem in Hindi language because that ok but not working very nicely in Hindi please fix the issues,November 10 2016,5
Hey guys up K m is new Sprint we h33737#3⅜$#³##. CX ZX,November 10 2016,1
I hate this! It starts up automatically and I have the hardest time getting it to shut off!! I don't want it to open on start-up!!!! I should be given the Option to turn it on!! Sucks!!,November 10 2016,1
Google Like it,November 10 2016,5
TalkBack This app is amazing! I love it,November 10 2016,5
Good Great,November 10 2016,3
Okeylah Baiklah,November 10 2016,5
talk back talk,November 10 2016,5
Can't be uninstalled,November 10 2016,1
Well Nice to use,November 10 2016,4
Rubbish,November 10 2016,1
I don't use it. So I disabled this app.,November 10 2016,1
Amazing Very very nice app,November 10 2016,5
JusT.RusTy... YeSir...,November 10 2016,5
Worst app  useless reviewing time waste,November 10 2016,1
so cool stuff search engine marketing,November 10 2016,4
Whatsup,November 10 2016,5
bjlv gmbcn,November 10 2016,5
Ok Ok,November 10 2016,5
Google Talk Back It's Nice App,November 09 2016,4
Good thing Feel better to use.,November 09 2016,5
Bad!!!,November 09 2016,1
Niice Good app,November 09 2016,5
Nice Nice,November 09 2016,5
I want it off I can't delete the app off my phone. Please allow this app to be uninstalled.,November 09 2016,1
I like it,November 09 2016,5
It is very hard to uninstall this app thats brilliant,November 09 2016,1
I dnt need ths applic. Unwanted! Inappropriate!,November 09 2016,1
Bart Hinton Bart Hinton,November 09 2016,5
Sucks no use,November 09 2016,1
Keel..important Will recomend..,November 09 2016,5
Don't work what so ever on here,November 09 2016,1
Loveed it Its use smood,November 09 2016,5
I k it,November 09 2016,5
Loved it,November 09 2016,5
Vishal singh,November 09 2016,5
God Moemy,November 09 2016,5
Yeh es dunia ka sabse bakwas app hair,November 09 2016,1
Why Why not working,November 09 2016,3
Thanks very much,November 09 2016,5
"You Now See:)""""""""""""""""""""""""""""""""it's😎☮♬ """"""""""""""""""""""""""""""""CoolBreezzzz""""""""""""""""""""""""""""""""🚩🚩""""",November 09 2016,5
it fails to updates,November 08 2016,1
Bloatware Let me delete this app I never use. I'm not blind!!,November 08 2016,1
Gostei 4 xtrela,November 08 2016,4
Bubai By,November 08 2016,4
the best application for visually impaired person I like this application very much it is very much helpful to us it has very good features it should be developed frequently,November 08 2016,5
Hate it Yeah it's the most annoying app,November 08 2016,1
MR JOYANTA MILI ASSAME,November 08 2016,5
Dagobah Disabled I am not  but happy I am. Yes  yes...,November 08 2016,5
Garbage Don't really need this stupid app,November 08 2016,1
Excellent Good,November 08 2016,5
Kasam Google talkback,November 08 2016,5
Yahya Qureshi,November 08 2016,5
This is great! This app is great and awesome! Google you are the best. Who could ever think of an app like this? This is awesome thank you google,November 08 2016,5
RRR Causes many problems with android 4.1.1.2,November 08 2016,1
Sucks Why can't I uninstall the dame thing!😡,November 08 2016,1
Its Ok,November 08 2016,3
